,Date,Shares Outstanding,Code
0,1986-04-02,2388787000.0000005,0002.HK
1,1986-04-03,2388787000.0000005,0002.HK
2,1986-04-04,2388787000.0000005,0002.HK
3,1986-04-07,2388787000.0000005,0002.HK
4,1986-04-08,2388787000.0000005,0002.HK
5,1986-04-09,2388787000.0000005,0002.HK
6,1986-04-10,2388787000.0000005,0002.HK
7,1986-04-11,2388787000.0000005,0002.HK
8,1986-04-14,2388787000.0000005,0002.HK
9,1986-04-15,2388787000.0000005,0002.HK
10,1986-04-16,2388787000.0000005,0002.HK
11,1986-04-17,2388787000.0000005,0002.HK
12,1986-04-18,2388787000.0000005,0002.HK
13,1986-04-21,2388787000.0000005,0002.HK
14,1986-04-22,2388787000.0000005,0002.HK
15,1986-04-23,2388787000.0000005,0002.HK
16,1986-04-24,2388787000.0000005,0002.HK
17,1986-04-25,2388787000.0000005,0002.HK
18,1986-04-28,2388787000.0000005,0002.HK
19,1986-04-29,2388787000.0000005,0002.HK
20,1986-04-30,2388787000.0000005,0002.HK
21,1986-05-01,2388787000.0000005,0002.HK
22,1986-05-02,2388787000.0000005,0002.HK
23,1986-05-05,2388787000.0000005,0002.HK
24,1986-05-06,2388787000.0000005,0002.HK
25,1986-05-07,2388787000.0000005,0002.HK
26,1986-05-08,2388787000.0000005,0002.HK
27,1986-05-09,2388787000.0000005,0002.HK
28,1986-05-12,2388787000.0000005,0002.HK
29,1986-05-13,2388787000.0000005,0002.HK
30,1986-05-14,2388787000.0000005,0002.HK
31,1986-05-15,2388787000.0000005,0002.HK
32,1986-05-16,2388787000.0000005,0002.HK
33,1986-05-19,2388787000.0000005,0002.HK
34,1986-05-20,2388787000.0000005,0002.HK
35,1986-05-21,2388787000.0000005,0002.HK
36,1986-05-22,2388787000.0000005,0002.HK
37,1986-05-23,2388787000.0000005,0002.HK
38,1986-05-26,2388787000.0000005,0002.HK
39,1986-05-27,2388787000.0000005,0002.HK
40,1986-05-28,2388787000.0000005,0002.HK
41,1986-05-29,2388787000.0000005,0002.HK
42,1986-05-30,2388787000.0000005,0002.HK
43,1986-06-02,2388787000.0000005,0002.HK
44,1986-06-03,2388787000.0000005,0002.HK
45,1986-06-04,2388787000.0000005,0002.HK
46,1986-06-05,2388787000.0000005,0002.HK
47,1986-06-06,2388787000.0000005,0002.HK
48,1986-06-09,2388787000.0000005,0002.HK
49,1986-06-10,2388787000.0000005,0002.HK
50,1986-06-12,2388787000.0000005,0002.HK
51,1986-06-13,2388787000.0000005,0002.HK
52,1986-06-17,2388787000.0000005,0002.HK
53,1986-06-18,2388787000.0000005,0002.HK
54,1986-06-19,2388787000.0000005,0002.HK
55,1986-06-20,2388787000.0000005,0002.HK
56,1986-06-23,2388787000.0000005,0002.HK
57,1986-06-24,2388787000.0000005,0002.HK
58,1986-06-25,2388787000.0000005,0002.HK
59,1986-06-26,2388787000.0000005,0002.HK
60,1986-06-27,2388787000.0000005,0002.HK
61,1986-06-30,2388787000.0000005,0002.HK
62,1986-07-01,2388787000.0000005,0002.HK
63,1986-07-02,2388787000.0000005,0002.HK
64,1986-07-03,2388787000.0000005,0002.HK
65,1986-07-04,2388787000.0000005,0002.HK
66,1986-07-07,2388787000.0000005,0002.HK
67,1986-07-08,2388787000.0000005,0002.HK
68,1986-07-09,2388787000.0000005,0002.HK
69,1986-07-10,2388787000.0000005,0002.HK
70,1986-07-11,2388787000.0000005,0002.HK
71,1986-07-14,2388787000.0000005,0002.HK
72,1986-07-15,2388787000.0000005,0002.HK
73,1986-07-16,2388787000.0000005,0002.HK
74,1986-07-17,2388787000.0000005,0002.HK
75,1986-07-18,2388787000.0000005,0002.HK
76,1986-07-21,2388787000.0000005,0002.HK
77,1986-07-22,2388787000.0000005,0002.HK
78,1986-07-23,2388787000.0000005,0002.HK
79,1986-07-24,2388787000.0000005,0002.HK
80,1986-07-25,2388787000.0000005,0002.HK
81,1986-07-28,2388787000.0000005,0002.HK
82,1986-07-29,2388787000.0000005,0002.HK
83,1986-07-30,2388787000.0000005,0002.HK
84,1986-07-31,2388787000.0000005,0002.HK
85,1986-08-01,2388787000.0000005,0002.HK
86,1986-08-04,2388787000.0000005,0002.HK
87,1986-08-05,2388787000.0000005,0002.HK
88,1986-08-06,2388787000.0000005,0002.HK
89,1986-08-07,2388787000.0000005,0002.HK
90,1986-08-08,2388787000.0000005,0002.HK
91,1986-08-11,2388787000.0000005,0002.HK
92,1986-08-12,2388787000.0000005,0002.HK
93,1986-08-13,2388787000.0000005,0002.HK
94,1986-08-14,2388787000.0000005,0002.HK
95,1986-08-15,2388787000.0000005,0002.HK
96,1986-08-18,2388787000.0000005,0002.HK
